Device,Event,Event_Detail,Count,First_Seen,Last_Seen,Risk_Level,Recommendation
R1,Interface Flap,"GigabitEthernet0/1: 5 flap(s), repeated >=2 within one hour",5,2025-10-17 08:04:30,2025-10-17 08:18:15,Medium,"Investigate interface errors, cabling/optics, and link stability."
R1,BGP Instability,Neighbor 10.10.10.2 established then went down within 10 minutes,2,2025-10-17 08:21:11,2025-10-17 08:26:20,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R1,CPU Spike,3 CPU spikes >80% within one hour,3,2025-10-17 08:38:21,2025-10-17 08:50:10,High,Investigate sustained CPU pressure and identify top CPU-consuming processes.
R1,SNMP Authentication Failure,Repeated authentication failures from 10.0.2.55,3,2025-10-17 08:46:03,2025-10-17 08:47:03,High,Verify SNMP credentials/ACLs and investigate the source IP for unauthorized access attempts.
R2,BGP Instability,Neighbor 172.16.0.2 established then went down within 10 minutes,1,2025-10-17 09:20:00,2025-10-17 09:22:10,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R3,SNMP Authentication Failure,Repeated authentication failures from 10.0.6.10,3,2025-10-18 09:04:12,2025-10-18 09:05:12,High,Verify SNMP credentials/ACLs and investigate the source IP for unauthorized access attempts.
R4,BGP Instability,Neighbor 10.20.30.2 established then went down within 10 minutes,1,2025-10-18 09:05:20,2025-10-18 09:06:11,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R4,BGP Instability,3 BGP down events on 2025-10-18,3,2025-10-18 09:06:11,2025-10-18 09:46:13,High,Review BGP logs and peer stability; investigate repeated session resets.
R3,Thermal Alarm,"Sensor 2: 1 alarm(s), average recovery 57.0s",1,2025-10-18 09:10:12,2025-10-18 09:11:09,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R3,Interface Flap,"GigabitEthernet0/3: 2 flap(s), repeated >=2 within one hour",2,2025-10-18 09:23:05,2025-10-18 09:36:03,Medium,"Investigate interface errors, cabling/optics, and link stability."
R4,BGP Instability,Neighbor 192.168.200.2 established then went down within 10 minutes,1,2025-10-18 09:24:44,2025-10-18 09:25:39,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R3,Thermal Alarm,"Sensor 1: 1 alarm(s), average recovery 47.0s",1,2025-10-18 09:43:28,2025-10-18 09:44:15,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R4,BGP Instability,Neighbor 10.10.10.3 established then went down within 10 minutes,1,2025-10-18 09:45:19,2025-10-18 09:46:13,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R4,Thermal Alarm,"Sensor 4: 1 alarm(s), average recovery 50.0s",1,2025-10-18 09:51:09,2025-10-18 09:51:59,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R4,CPU Spike,CPU utilization reached 95%,1,2025-10-18 09:59:00,2025-10-18 09:59:00,Critical,Investigate CPU-consuming processes immediately and check capacity/traffic anomalies.
R1,BGP Instability,Neighbor 192.168.1.2 established then went down within 10 minutes,1,2025-10-19 07:00:02,2025-10-19 07:00:49,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R2,Interface Flap,"GigabitEthernet0/2: 3 flap(s), repeated >=2 within one hour",3,2025-10-19 07:02:09,2025-10-19 07:43:55,Medium,"Investigate interface errors, cabling/optics, and link stability."
R1,Thermal Alarm,"Sensor 2: 1 alarm(s), average recovery 38.0s",1,2025-10-19 07:06:55,2025-10-19 07:07:33,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R1,SNMP Authentication Failure,Repeated authentication failures from 10.0.3.55,3,2025-10-19 07:41:09,2025-10-19 07:42:09,High,Verify SNMP credentials/ACLs and investigate the source IP for unauthorized access attempts.
R4,SNMP Authentication Failure,Repeated authentication failures from 10.0.8.81,3,2025-10-19 07:48:21,2025-10-19 07:49:21,High,Verify SNMP credentials/ACLs and investigate the source IP for unauthorized access attempts.
R4,BGP Instability,Neighbor 192.168.50.2 established then went down within 10 minutes,1,2025-10-20 09:16:05,2025-10-20 09:16:58,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R4,CPU Spike,CPU utilization reached 95%,1,2025-10-20 09:22:55,2025-10-20 09:22:55,Critical,Investigate CPU-consuming processes immediately and check capacity/traffic anomalies.
R4,Thermal Alarm,"Sensor 2: 1 alarm(s), average recovery 45.0s",1,2025-10-20 09:31:26,2025-10-20 09:32:11,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R4,Interface Flap,GigabitEthernet0/4: 1 flap(s) detected,1,2025-10-20 09:39:11,2025-10-20 09:40:00,Low,Monitor the interface and inspect error counters if flaps recur.
R1,BGP Instability,Neighbor 172.16.200.2 established then went down within 10 minutes,1,2025-10-20 09:40:59,2025-10-20 09:41:47,High,"Check BGP peer reachability, timers, route-policy changes, and link stability."
R1,Thermal Alarm,"Sensor 4: 1 alarm(s), average recovery 54.0s",1,2025-10-20 09:54:41,2025-10-20 09:55:35,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
R4,Thermal Alarm,"Sensor 5: 1 alarm(s), average recovery 49.0s",1,2025-10-20 10:06:03,2025-10-20 10:06:52,Medium,"Check cooling, airflow, fan/temperature sensor health, and environmental conditions."
